rank,index,strategy,mode,strategy_ann_ret,benchmark_ann_ret,excess_ann_ret,strategy_ann_vol,strategy_sharpe,benchmark_sharpe,sharpe_diff,strategy_max_drawdown,benchmark_max_drawdown,drawdown_improvement,strategy_win_rate,n_days
1,CSI1000,targeted_CSI1000,zero_threshold,0.14706561062495926,0.021577085761697923,0.12548852486326134,0.17478165685192504,0.8414247425835607,0.07788025042274226,0.7635444921608184,-0.2390939311817235,-0.7234872372733585,0.484393306091635,0.24664784756527877,2834
2,STAR50,targeted_STAR50_smooth20,zero_threshold,0.21838374060597587,0.08096920034539701,0.13741454026057887,0.28596904836205195,0.7636621580440779,0.23790451394273604,0.5257576441013418,-0.3583850451879037,-0.626567472120988,0.26818242693308425,0.3261138613861386,1616
3,CSI500,targeted_CSI500,zero_threshold,0.12137165248602311,0.033636348171806274,0.08773530431421683,0.16510033238021063,0.7351387531220442,0.13146403808421767,0.6036747150378265,-0.2646528240554237,-0.6519574332360283,0.3873046091806046,0.24947071277346508,2834
4,STAR50,targeted_STAR50_smooth20,weekly_hold,0.1725388338421403,0.08096920034539701,0.0915696334967433,0.2359047892222614,0.7313918229933862,0.23790451394273604,0.4934873090506502,-0.38142123760003066,-0.626567472120988,0.2451462345209573,0.2332920792079208,1616
5,CSI1000,targeted_CSI1000,monthly_hold,0.11427227598978584,0.021577085761697923,0.09269519022808792,0.1621652485285317,0.7046656236566031,0.07788025042274226,0.6267853732338609,-0.2589092197199039,-0.7234872372733585,0.4645780175534546,0.23712067748764998,2834
6,CSI500,targeted_CSI500_smooth20,zero_threshold,0.11686495948916509,0.033636348171806274,0.08322861131735881,0.16888042619016067,0.6919982506295563,0.13146403808421767,0.5605342125453386,-0.2466553660736691,-0.6519574332360283,0.40530206716235917,0.24488355681016233,2834
7,STAR50,targeted_STAR50_smooth20,top_quantile,0.16053099598881282,0.08096920034539701,0.07956179564341581,0.23561612726860237,0.6813243127700146,0.23790451394273604,0.44341979882727856,-0.33186946196175005,-0.626567472120988,0.2946980101592379,0.3378712871287129,1616
8,STAR50,report_offensive_defensive,weekly_hold,0.13979053302888733,0.08096920034539701,0.058821332683490324,0.2083666302422617,0.6708873338612666,0.23790451394273604,0.4329828199185306,-0.3806654625179693,-0.626567472120988,0.24590200960301867,0.19801980198019803,1616
9,STAR50,targeted_STAR50,weekly_hold,0.14912904783075254,0.08096920034539701,0.06815984748535553,0.22805456207220115,0.653918283746233,0.23790451394273604,0.4160137698034969,-0.30270262425348615,-0.626567472120988,0.3238648478675018,0.21349009900990099,1616
10,CSI1000,targeted_CSI1000_smooth20,zero_threshold,0.11589588317266553,0.021577085761697923,0.0943187974109676,0.18319499038379322,0.6326367491265118,0.07788025042274226,0.5547564987037695,-0.2274314260172583,-0.7234872372733585,0.4960558112561002,0.24311926605504589,2834
